CMDLINE /usr/bin/python3 main.py
MEM 81.855469 1750778273.5358
MEM 81.855469 1750778273.6366
MEM 81.855469 1750778273.7373
MEM 81.855469 1750778273.8380
MEM 81.855469 1750778273.9384
MEM 81.855469 1750778274.0388
MEM 81.855469 1750778274.1396
MEM 81.855469 1750778274.2402
MEM 81.855469 1750778274.3408
MEM 81.855469 1750778274.4414
MEM 81.855469 1750778274.5421
MEM 81.855469 1750778274.6427
MEM 81.855469 1750778274.7434
MEM 81.855469 1750778274.8440
MEM 81.855469 1750778274.9448
MEM 81.855469 1750778275.0455
MEM 81.855469 1750778275.1461
MEM 81.855469 1750778275.2468
MEM 81.855469 1750778275.3474
MEM 81.855469 1750778275.4481
MEM 81.855469 1750778275.5488
MEM 81.855469 1750778275.6495
MEM 81.855469 1750778275.7502
MEM 81.855469 1750778275.8509
MEM 81.855469 1750778275.9517
MEM 81.855469 1750778276.0524
MEM 81.855469 1750778276.1530
MEM 81.855469 1750778276.2537
MEM 81.855469 1750778276.3544
MEM 81.855469 1750778276.4550
MEM 81.855469 1750778276.5558
MEM 81.855469 1750778276.6561
MEM 81.855469 1750778276.7568
MEM 81.855469 1750778276.8576
MEM 81.855469 1750778276.9583
MEM 81.855469 1750778277.0590
MEM 81.855469 1750778277.1598
MEM 81.855469 1750778277.2605
MEM 81.855469 1750778277.3613
MEM 81.855469 1750778277.4620
MEM 81.855469 1750778277.5628
MEM 81.855469 1750778277.6635
MEM 81.855469 1750778277.7641
MEM 81.855469 1750778277.8648
MEM 81.855469 1750778277.9655
MEM 81.855469 1750778278.0662
MEM 81.855469 1750778278.1669
MEM 81.855469 1750778278.2676
MEM 81.855469 1750778278.3683
MEM 81.855469 1750778278.4690
MEM 81.855469 1750778278.5697
MEM 81.855469 1750778278.6704
MEM 81.855469 1750778278.7711
MEM 81.855469 1750778278.8718
MEM 81.855469 1750778278.9725
MEM 81.855469 1750778279.0732
MEM 81.855469 1750778279.1739
MEM 81.855469 1750778279.2747
MEM 81.855469 1750778279.3753
MEM 81.855469 1750778279.4760
MEM 81.855469 1750778279.5767
MEM 81.855469 1750778279.6774
MEM 81.855469 1750778279.7781
MEM 81.855469 1750778279.8788
MEM 81.855469 1750778279.9795
MEM 81.855469 1750778280.0802
MEM 81.855469 1750778280.1808
MEM 81.855469 1750778280.2815
MEM 81.855469 1750778280.3822
MEM 81.855469 1750778280.4829
MEM 81.855469 1750778280.5836
MEM 81.855469 1750778280.6842
MEM 81.855469 1750778280.7850
MEM 81.855469 1750778280.8857
MEM 81.855469 1750778280.9864
MEM 81.855469 1750778281.0871
MEM 81.855469 1750778281.1878
MEM 81.855469 1750778281.2884
MEM 81.855469 1750778281.3891
MEM 81.855469 1750778281.4899
MEM 81.855469 1750778281.5906
MEM 81.855469 1750778281.6912
MEM 81.855469 1750778281.7919
MEM 81.855469 1750778281.8927
MEM 81.855469 1750778281.9934
MEM 81.855469 1750778282.0941
MEM 81.855469 1750778282.1948
MEM 81.855469 1750778282.2954
MEM 81.855469 1750778282.3961
MEM 81.855469 1750778282.4967
MEM 81.855469 1750778282.5973
MEM 81.855469 1750778282.6979
MEM 81.855469 1750778282.7986
MEM 81.855469 1750778282.8993
MEM 81.855469 1750778283.0000
MEM 81.855469 1750778283.1007
MEM 81.855469 1750778283.2014
MEM 81.855469 1750778283.3021
MEM 81.855469 1750778283.4028
